 x 	 y 	 u 	 v 	 m 
  0.0617 	 0.0370 	 0.0067 	 0.0025 	 71.3100
  0.1235 	 0.0370 	 0.0022 	 -0.0019 	 29.0393
  0.1852 	 0.0370 	 0.0012 	 0.0003 	 12.8060
  0.2469 	 0.0370 	 0.0014 	 0.0001 	 14.0810
  0.3086 	 0.0370 	 0.0010 	 0.0001 	 9.8594
  0.3704 	 0.0370 	 0.0005 	 0.0001 	 5.4061
  0.4321 	 0.0370 	 0.0002 	 0.0001 	 1.7364
  0.4938 	 0.0370 	 -0.0001 	 0.0001 	 1.5782
  0.5556 	 0.0370 	 -0.0004 	 0.0001 	 4.5267
  0.6173 	 0.0370 	 -0.0009 	 0.0001 	 8.6675
  0.6790 	 0.0370 	 -0.0014 	 0.0002 	 14.2717
  0.7407 	 0.0370 	 -0.0020 	 0.0002 	 20.2083
  0.8025 	 0.0370 	 -0.0024 	 0.0002 	 24.3704
  0.8642 	 0.0370 	 -0.0021 	 0.0002 	 20.8949
  0.9259 	 0.0370 	 -0.0036 	 -0.0020 	 41.6054
  0.0617 	 0.0741 	 0.0016 	 0.0038 	 40.8941
  0.1235 	 0.0741 	 0.0023 	 -0.0014 	 27.1090
  0.1852 	 0.0741 	 0.0032 	 -0.0001 	 32.0094
  0.2469 	 0.0741 	 0.0033 	 0.0003 	 33.0340
  0.3086 	 0.0741 	 0.0026 	 0.0006 	 26.2730
  0.3704 	 0.0741 	 0.0017 	 0.0006 	 17.5300
  0.4321 	 0.0741 	 0.0008 	 0.0005 	 9.2143
  0.4938 	 0.0741 	 0.0000 	 0.0004 	 4.3133
  0.5556 	 0.0741 	 -0.0008 	 0.0005 	 9.2411
  0.6173 	 0.0741 	 -0.0017 	 0.0006 	 18.1153
  0.6790 	 0.0741 	 -0.0028 	 0.0007 	 28.5331
  0.7407 	 0.0741 	 -0.0038 	 0.0007 	 38.2537
  0.8025 	 0.0741 	 -0.0044 	 0.0003 	 43.8496
  0.8642 	 0.0741 	 -0.0039 	 -0.0003 	 38.8337
  0.9259 	 0.0741 	 -0.0027 	 -0.0017 	 32.3101
  0.0617 	 0.1111 	 0.0006 	 -0.0003 	 6.4931
  0.1235 	 0.1111 	 0.0047 	 -0.0025 	 53.3977
  0.1852 	 0.1111 	 0.0060 	 -0.0006 	 60.2015
  0.2469 	 0.1111 	 0.0060 	 0.0007 	 59.8972
  0.3086 	 0.1111 	 0.0048 	 0.0013 	 49.6820
  0.3704 	 0.1111 	 0.0032 	 0.0014 	 35.0607
  0.4321 	 0.1111 	 0.0016 	 0.0013 	 20.6068
  0.4938 	 0.1111 	 0.0002 	 0.0011 	 11.6445
  0.5556 	 0.1111 	 -0.0013 	 0.0012 	 17.6506
  0.6173 	 0.1111 	 -0.0029 	 0.0015 	 32.2332
  0.6790 	 0.1111 	 -0.0046 	 0.0017 	 49.1131
  0.7407 	 0.1111 	 -0.0062 	 0.0014 	 63.8060
  0.8025 	 0.1111 	 -0.0071 	 0.0005 	 70.9237
  0.8642 	 0.1111 	 -0.0065 	 -0.0010 	 65.8032
  0.9259 	 0.1111 	 -0.0047 	 -0.0030 	 55.3223
  0.0617 	 0.1481 	 0.0030 	 -0.0045 	 53.8031
  0.1235 	 0.1481 	 0.0075 	 -0.0042 	 85.8844
  0.1852 	 0.1481 	 0.0097 	 -0.0013 	 97.8420
  0.2469 	 0.1481 	 0.0098 	 0.0011 	 98.8451
  0.3086 	 0.1481 	 0.0081 	 0.0025 	 84.3560
  0.3704 	 0.1481 	 0.0054 	 0.0028 	 61.0990
  0.4321 	 0.1481 	 0.0028 	 0.0026 	 37.8046
  0.4938 	 0.1481 	 0.0004 	 0.0023 	 23.7518
  0.5556 	 0.1481 	 -0.0019 	 0.0025 	 31.2383
  0.6173 	 0.1481 	 -0.0045 	 0.0029 	 53.4683
  0.6790 	 0.1481 	 -0.0073 	 0.0031 	 79.7737
  0.7407 	 0.1481 	 -0.0098 	 0.0025 	 101.1731
  0.8025 	 0.1481 	 -0.0108 	 0.0007 	 108.5857
  0.8642 	 0.1481 	 -0.0097 	 -0.0020 	 98.9642
  0.9259 	 0.1481 	 -0.0068 	 -0.0048 	 83.3321
  0.0617 	 0.1852 	 0.0045 	 -0.0081 	 92.8719
  0.1235 	 0.1852 	 0.0104 	 -0.0069 	 124.5365
  0.1852 	 0.1852 	 0.0145 	 -0.0028 	 147.2274
  0.2469 	 0.1852 	 0.0155 	 0.0015 	 156.1539
  0.3086 	 0.1852 	 0.0133 	 0.0043 	 139.4740
  0.3704 	 0.1852 	 0.0091 	 0.0051 	 104.3329
  0.4321 	 0.1852 	 0.0047 	 0.0047 	 66.6258
  0.4938 	 0.1852 	 0.0008 	 0.0043 	 43.4589
  0.5556 	 0.1852 	 -0.0030 	 0.0045 	 54.2921
  0.6173 	 0.1852 	 -0.0073 	 0.0052 	 89.4113
  0.6790 	 0.1852 	 -0.0118 	 0.0054 	 129.7329
  0.7407 	 0.1852 	 -0.0153 	 0.0040 	 157.9284
  0.8025 	 0.1852 	 -0.0160 	 0.0005 	 159.8512
  0.8642 	 0.1852 	 -0.0133 	 -0.0039 	 138.2301
  0.9259 	 0.1852 	 -0.0085 	 -0.0076 	 113.8755
  0.0617 	 0.2222 	 0.0050 	 -0.0121 	 131.0312
  0.1235 	 0.2222 	 0.0122 	 -0.0109 	 163.9651
  0.1852 	 0.2222 	 0.0195 	 -0.0059 	 203.6450
  0.2469 	 0.2222 	 0.0233 	 0.0010 	 233.3673
  0.3086 	 0.2222 	 0.0214 	 0.0066 	 223.8121
  0.3704 	 0.2222 	 0.0153 	 0.0088 	 176.5088
  0.4321 	 0.2222 	 0.0082 	 0.0083 	 116.7088
  0.4938 	 0.2222 	 0.0014 	 0.0076 	 77.3902
  0.5556 	 0.2222 	 -0.0053 	 0.0079 	 95.0180
  0.6173 	 0.2222 	 -0.0123 	 0.0089 	 151.6325
  0.6790 	 0.2222 	 -0.0190 	 0.0088 	 209.7385
  0.7407 	 0.2222 	 -0.0231 	 0.0055 	 238.0017
  0.8025 	 0.2222 	 -0.0221 	 -0.0008 	 220.9470
  0.8642 	 0.2222 	 -0.0162 	 -0.0074 	 177.7388
  0.9259 	 0.2222 	 -0.0090 	 -0.0113 	 144.6101
  0.0617 	 0.2593 	 0.0033 	 -0.0152 	 155.4703
  0.1235 	 0.2593 	 0.0112 	 -0.0164 	 198.4721
  0.1852 	 0.2593 	 0.0225 	 -0.0118 	 254.0989
  0.2469 	 0.2593 	 0.0309 	 -0.0016 	 309.6658
  0.3086 	 0.2593 	 0.0318 	 0.0086 	 329.3589
  0.3704 	 0.2593 	 0.0249 	 0.0139 	 285.1152
  0.4321 	 0.2593 	 0.0140 	 0.0143 	 200.1488
  0.4938 	 0.2593 	 0.0024 	 0.0135 	 136.8415
  0.5556 	 0.2593 	 -0.0092 	 0.0138 	 165.7518
  0.6173 	 0.2593 	 -0.0205 	 0.0147 	 252.0971
  0.6790 	 0.2593 	 -0.0293 	 0.0129 	 320.3611
  0.7407 	 0.2593 	 -0.0317 	 0.0059 	 322.4506
  0.8025 	 0.2593 	 -0.0265 	 -0.0046 	 268.8856
  0.8642 	 0.2593 	 -0.0166 	 -0.0132 	 211.9261
  0.9259 	 0.2593 	 -0.0068 	 -0.0161 	 174.3403
  0.0617 	 0.2963 	 -0.0004 	 -0.0179 	 179.4417
  0.1235 	 0.2963 	 0.0093 	 -0.0231 	 248.9393
  0.1852 	 0.2963 	 0.0200 	 -0.0186 	 273.4143
  0.2469 	 0.2963 	 0.0305 	 -0.0070 	 312.4102
  0.3086 	 0.2963 	 0.0378 	 0.0077 	 386.3459
  0.3704 	 0.2963 	 0.0348 	 0.0192 	 397.5557
  0.4321 	 0.2963 	 0.0214 	 0.0231 	 315.1677
  0.4938 	 0.2963 	 0.0037 	 0.0231 	 233.7858
  0.5556 	 0.2963 	 -0.0144 	 0.0232 	 273.5652
  0.6173 	 0.2963 	 -0.0302 	 0.0224 	 376.0495
  0.6790 	 0.2963 	 -0.0377 	 0.0157 	 408.6597
  0.7407 	 0.2963 	 -0.0333 	 0.0025 	 333.9060
  0.8025 	 0.2963 	 -0.0229 	 -0.0105 	 251.6576
  0.8642 	 0.2963 	 -0.0137 	 -0.0192 	 235.9089
  0.9259 	 0.2963 	 -0.0049 	 -0.0216 	 221.0657
  0.0617 	 0.3333 	 0.0056 	 -0.0242 	 248.6767
  0.1235 	 0.3333 	 0.0112 	 -0.0261 	 284.1880
  0.1852 	 0.3333 	 0.0096 	 -0.0207 	 228.2925
  0.2469 	 0.3333 	 0.0151 	 -0.0133 	 201.5856
  0.3086 	 0.3333 	 0.0285 	 0.0014 	 285.4495
  0.3704 	 0.3333 	 0.0349 	 0.0210 	 407.3911
  0.4321 	 0.3333 	 0.0250 	 0.0329 	 413.8122
  0.4938 	 0.3333 	 0.0046 	 0.0360 	 362.4175
  0.5556 	 0.3333 	 -0.0175 	 0.0354 	 395.3957
  0.6173 	 0.3333 	 -0.0328 	 0.0296 	 442.3550
  0.6790 	 0.3333 	 -0.0328 	 0.0136 	 355.3822
  0.7407 	 0.3333 	 -0.0197 	 -0.0055 	 204.7589
  0.8025 	 0.3333 	 -0.0081 	 -0.0159 	 178.2570
  0.8642 	 0.3333 	 -0.0075 	 -0.0199 	 212.4531
  0.9259 	 0.3333 	 -0.0102 	 -0.0239 	 259.7704
  0.0617 	 0.3704 	 0.0144 	 -0.0304 	 335.9781
  0.1235 	 0.3704 	 0.0098 	 -0.0208 	 229.6015
  0.1852 	 0.3704 	 -0.0035 	 -0.0162 	 165.3834
  0.2469 	 0.3704 	 -0.0041 	 -0.0175 	 180.0263
  0.3086 	 0.3704 	 0.0066 	 -0.0072 	 98.0675
  0.3704 	 0.3704 	 0.0193 	 0.0170 	 257.3635
  0.4321 	 0.3704 	 0.0189 	 0.0394 	 436.5603
  0.4938 	 0.3704 	 0.0038 	 0.0482 	 483.4480
  0.5556 	 0.3704 	 -0.0141 	 0.0463 	 483.6855
  0.6173 	 0.3704 	 -0.0215 	 0.0321 	 385.8471
  0.6790 	 0.3704 	 -0.0126 	 0.0065 	 141.9990
  0.7407 	 0.3704 	 0.0005 	 -0.0136 	 135.6155
  0.8025 	 0.3704 	 0.0068 	 -0.0184 	 195.9649
  0.8642 	 0.3704 	 0.0012 	 -0.0142 	 142.3449
  0.9259 	 0.3704 	 -0.0133 	 -0.0183 	 226.5839
  0.0617 	 0.4074 	 0.0059 	 -0.0338 	 343.5537
  0.1235 	 0.4074 	 0.0019 	 -0.0130 	 131.4595
  0.1852 	 0.4074 	 -0.0116 	 -0.0100 	 153.5987
  0.2469 	 0.4074 	 -0.0142 	 -0.0182 	 230.8429
  0.3086 	 0.4074 	 -0.0134 	 -0.0117 	 177.8298
  0.3704 	 0.4074 	 -0.0023 	 0.0092 	 94.7819
  0.4321 	 0.4074 	 0.0057 	 0.0399 	 402.9013
  0.4938 	 0.4074 	 0.0015 	 0.0549 	 549.1637
  0.5556 	 0.4074 	 -0.0051 	 0.0514 	 516.6471
  0.6173 	 0.4074 	 -0.0027 	 0.0288 	 288.9174
  0.6790 	 0.4074 	 0.0101 	 -0.0012 	 101.3953
