 x 	 y 	 u 	 v 	 m 
  0.0617 	 0.0370 	 0.0035 	 0.0013 	 37.4554
  0.1235 	 0.0370 	 0.0011 	 -0.0012 	 15.5900
  0.1852 	 0.0370 	 0.0005 	 0.0000 	 5.5294
  0.2469 	 0.0370 	 0.0006 	 -0.0000 	 6.1437
  0.3086 	 0.0370 	 0.0003 	 -0.0000 	 3.9091
  0.3704 	 0.0370 	 0.0001 	 -0.0001 	 1.7199
  0.4321 	 0.0370 	 -0.0001 	 -0.0001 	 0.4235
  0.4938 	 0.0370 	 -0.0001 	 -0.0001 	 1.4187
  0.5556 	 0.0370 	 -0.0002 	 -0.0001 	 2.7594
  0.6173 	 0.0370 	 -0.0004 	 -0.0001 	 4.8214
  0.6790 	 0.0370 	 -0.0007 	 -0.0000 	 7.7569
  0.7407 	 0.0370 	 -0.0011 	 -0.0000 	 10.9746
  0.8025 	 0.0370 	 -0.0013 	 -0.0000 	 13.3524
  0.8642 	 0.0370 	 -0.0012 	 -0.0000 	 11.5281
  0.9259 	 0.0370 	 -0.0020 	 -0.0012 	 23.3170
  0.0617 	 0.0741 	 0.0009 	 0.0018 	 20.9186
  0.1235 	 0.0741 	 0.0012 	 -0.0011 	 15.2391
  0.1852 	 0.0741 	 0.0017 	 -0.0004 	 16.9113
  0.2469 	 0.0741 	 0.0017 	 -0.0001 	 16.9170
  0.3086 	 0.0741 	 0.0012 	 0.0000 	 12.8825
  0.3704 	 0.0741 	 0.0007 	 -0.0000 	 8.0195
  0.4321 	 0.0741 	 0.0003 	 -0.0001 	 3.4729
  0.4938 	 0.0741 	 -0.0001 	 -0.0002 	 0.7087
  0.5556 	 0.0741 	 -0.0004 	 -0.0001 	 4.6863
  0.6173 	 0.0741 	 -0.0009 	 -0.0000 	 9.6208
  0.6790 	 0.0741 	 -0.0015 	 0.0001 	 15.4511
  0.7407 	 0.0741 	 -0.0021 	 0.0001 	 21.0919
  0.8025 	 0.0741 	 -0.0024 	 -0.0001 	 24.6150
  0.8642 	 0.0741 	 -0.0022 	 -0.0005 	 22.2755
  0.9259 	 0.0741 	 -0.0016 	 -0.0013 	 19.1603
  0.0617 	 0.1111 	 0.0003 	 -0.0006 	 5.1010
  0.1235 	 0.1111 	 0.0026 	 -0.0018 	 30.8484
  0.1852 	 0.1111 	 0.0033 	 -0.0008 	 33.6454
  0.2469 	 0.1111 	 0.0032 	 -0.0001 	 32.4777
  0.3086 	 0.1111 	 0.0025 	 0.0002 	 25.9755
  0.3704 	 0.1111 	 0.0016 	 0.0002 	 17.3346
  0.4321 	 0.1111 	 0.0008 	 0.0001 	 8.9447
  0.4938 	 0.1111 	 0.0000 	 -0.0000 	 3.3137
  0.5556 	 0.1111 	 -0.0007 	 0.0000 	 8.2166
  0.6173 	 0.1111 	 -0.0016 	 0.0003 	 16.9024
  0.6790 	 0.1111 	 -0.0026 	 0.0005 	 26.8024
  0.7407 	 0.1111 	 -0.0035 	 0.0003 	 35.7054
  0.8025 	 0.1111 	 -0.0040 	 -0.0002 	 40.4740
  0.8642 	 0.1111 	 -0.0037 	 -0.0010 	 38.3308
  0.9259 	 0.1111 	 -0.0027 	 -0.0022 	 33.1107
  0.0617 	 0.1481 	 0.0017 	 -0.0032 	 33.2478
  0.1235 	 0.1481 	 0.0043 	 -0.0029 	 50.6039
  0.1852 	 0.1481 	 0.0055 	 -0.0013 	 56.2484
  0.2469 	 0.1481 	 0.0055 	 0.0000 	 55.4135
  0.3086 	 0.1481 	 0.0044 	 0.0008 	 45.9593
  0.3704 	 0.1481 	 0.0029 	 0.0009 	 31.9068
  0.4321 	 0.1481 	 0.0015 	 0.0006 	 17.9667
