 x 	 y 	 u 	 v 	 m 
  0.0617 	 0.0370 	 0.0030 	 0.0017 	 34.2852
  0.1235 	 0.0370 	 0.0009 	 -0.0010 	 13.9582
  0.1852 	 0.0370 	 -0.0006 	 -0.0000 	 5.6779
  0.2469 	 0.0370 	 -0.0007 	 0.0003 	 8.0147
  0.3086 	 0.0370 	 -0.0009 	 -0.0001 	 8.8772
  0.3704 	 0.0370 	 -0.0008 	 -0.0001 	 8.4509
  0.4321 	 0.0370 	 -0.0006 	 -0.0002 	 6.0085
  0.4938 	 0.0370 	 -0.0002 	 -0.0002 	 2.9802
  0.5556 	 0.0370 	 0.0001 	 -0.0002 	 1.9263
  0.6173 	 0.0370 	 0.0003 	 -0.0001 	 2.8357
  0.6790 	 0.0370 	 0.0002 	 -0.0000 	 2.1838
  0.7407 	 0.0370 	 -0.0001 	 0.0001 	 1.0254
  0.8025 	 0.0370 	 -0.0004 	 0.0004 	 5.3960
  0.8642 	 0.0370 	 -0.0007 	 -0.0001 	 7.1364
  0.9259 	 0.0370 	 -0.0025 	 -0.0011 	 27.3647
  0.0617 	 0.0741 	 0.0019 	 0.0025 	 31.7707
  0.1235 	 0.0741 	 0.0015 	 -0.0002 	 14.8596
  0.1852 	 0.0741 	 0.0016 	 0.0000 	 16.1193
  0.2469 	 0.0741 	 0.0014 	 0.0004 	 14.9006
  0.3086 	 0.0741 	 0.0008 	 0.0002 	 8.5982
  0.3704 	 0.0741 	 0.0004 	 -0.0000 	 3.5580
  0.4321 	 0.0741 	 0.0001 	 -0.0002 	 2.2117
  0.4938 	 0.0741 	 -0.0000 	 -0.0002 	 2.4927
  0.5556 	 0.0741 	 -0.0002 	 -0.0002 	 2.7139
  0.6173 	 0.0741 	 -0.0006 	 0.0000 	 5.8918
  0.6790 	 0.0741 	 -0.0012 	 0.0003 	 12.5417
  0.7407 	 0.0741 	 -0.0021 	 0.0005 	 21.1443
  0.8025 	 0.0741 	 -0.0027 	 0.0005 	 27.9905
  0.8642 	 0.0741 	 -0.0027 	 -0.0001 	 27.3595
  0.9259 	 0.0741 	 -0.0023 	 -0.0005 	 23.8585
  0.0617 	 0.1111 	 0.0006 	 0.0003 	 7.2177
  0.1235 	 0.1111 	 0.0041 	 -0.0011 	 42.8129
  0.1852 	 0.1111 	 0.0051 	 -0.0001 	 50.7826
  0.2469 	 0.1111 	 0.0047 	 0.0008 	 47.9125
  0.3086 	 0.1111 	 0.0035 	 0.0008 	 36.3777
  0.3704 	 0.1111 	 0.0022 	 0.0005 	 22.7647
  0.4321 	 0.1111 	 0.0011 	 0.0002 	 11.0450
  0.4938 	 0.1111 	 0.0002 	 0.0001 	 2.0213
  0.5556 	 0.1111 	 -0.0007 	 0.0003 	 7.7568
  0.6173 	 0.1111 	 -0.0019 	 0.0006 	 20.3922
  0.6790 	 0.1111 	 -0.0035 	 0.0011 	 36.4284
  0.7407 	 0.1111 	 -0.0051 	 0.0012 	 52.2779
  0.8025 	 0.1111 	 -0.0061 	 0.0009 	 61.8087
  0.8642 	 0.1111 	 -0.0059 	 -0.0005 	 59.5629
  0.9259 	 0.1111 	 -0.0042 	 -0.0017 	 45.7430
  0.0617 	 0.1481 	 0.0026 	 -0.0034 	 42.4297
  0.1235 	 0.1481 	 0.0075 	 -0.0029 	 79.9831
  0.1852 	 0.1481 	 0.0095 	 -0.0007 	 95.5798
  0.2469 	 0.1481 	 0.0096 	 0.0013 	 97.1331
