 x 	 y 	 u 	 v 	 m 
  0.0617 	 0.0370 	 0.0037 	 0.0016 	 40.2496
  0.1235 	 0.0370 	 0.0010 	 -0.0015 	 18.1546
  0.1852 	 0.0370 	 -0.0001 	 -0.0004 	 4.2560
  0.2469 	 0.0370 	 0.0007 	 -0.0000 	 7.0192
  0.3086 	 0.0370 	 0.0014 	 -0.0002 	 14.0141
  0.3704 	 0.0370 	 0.0016 	 0.0000 	 15.8933
  0.4321 	 0.0370 	 0.0012 	 0.0003 	 12.4531
  0.4938 	 0.0370 	 0.0004 	 0.0004 	 5.5339
  0.5556 	 0.0370 	 -0.0005 	 0.0004 	 6.6155
  0.6173 	 0.0370 	 -0.0011 	 0.0002 	 11.5699
  0.6790 	 0.0370 	 -0.0011 	 -0.0001 	 11.2716
  0.7407 	 0.0370 	 -0.0006 	 -0.0003 	 6.3930
  0.8025 	 0.0370 	 0.0004 	 -0.0001 	 3.9508
  0.8642 	 0.0370 	 0.0010 	 -0.0004 	 10.5568
  0.9259 	 0.0370 	 -0.0012 	 -0.0014 	 18.4551
  0.0617 	 0.0741 	 0.0003 	 0.0040 	 40.4053
  0.1235 	 0.0741 	 -0.0022 	 -0.0000 	 21.6268
  0.1852 	 0.0741 	 -0.0023 	 -0.0007 	 24.4251
  0.2469 	 0.0741 	 -0.0012 	 -0.0008 	 14.5088
  0.3086 	 0.0741 	 0.0000 	 -0.0008 	 7.9187
  0.3704 	 0.0741 	 0.0009 	 -0.0002 	 9.6392
  0.4321 	 0.0741 	 0.0010 	 0.0005 	 11.4925
  0.4938 	 0.0741 	 0.0004 	 0.0009 	 10.0272
  0.5556 	 0.0741 	 -0.0005 	 0.0008 	 9.6762
  0.6173 	 0.0741 	 -0.0008 	 0.0003 	 8.3113
  0.6790 	 0.0741 	 -0.0002 	 -0.0005 	 5.3742
  0.7407 	 0.0741 	 0.0011 	 -0.0010 	 14.8861
  0.8025 	 0.0741 	 0.0024 	 -0.0008 	 25.7556
  0.8642 	 0.0741 	 0.0032 	 -0.0005 	 32.9244
  0.9259 	 0.0741 	 0.0023 	 0.0003 	 23.3194
  0.0617 	 0.1111 	 -0.0035 	 0.0042 	 54.9333
  0.1235 	 0.1111 	 -0.0044 	 0.0008 	 44.6321
  0.1852 	 0.1111 	 -0.0052 	 -0.0008 	 52.9774
  0.2469 	 0.1111 	 -0.0043 	 -0.0016 	 46.1792
  0.3086 	 0.1111 	 -0.0024 	 -0.0019 	 30.3645
  0.3704 	 0.1111 	 -0.0005 	 -0.0009 	 10.7757
  0.4321 	 0.1111 	 0.0004 	 0.0004 	 5.7155
  0.4938 	 0.1111 	 0.0003 	 0.0013 	 13.1748
  0.5556 	 0.1111 	 -0.0001 	 0.0011 	 11.0902
  0.6173 	 0.1111 	 0.0002 	 -0.0000 	 2.3523
  0.6790 	 0.1111 	 0.0017 	 -0.0014 	 22.2692
  0.7407 	 0.1111 	 0.0038 	 -0.0021 	 43.6031
  0.8025 	 0.1111 	 0.0055 	 -0.0016 	 56.7711
  0.8642 	 0.1111 	 0.0057 	 -0.0004 	 57.6276
  0.9259 	 0.1111 	 0.0043 	 0.0013 	 44.8114
  0.0617 	 0.1481 	 -0.0039 	 0.0049 	 62.5453
  0.1235 	 0.1481 	 -0.0066 	 0.0023 	 69.7134
  0.1852 	 0.1481 	 -0.0088 	 -0.0002 	 88.1087
  0.2469 	 0.1481 	 -0.0086 	 -0.0024 	 89.2402
  0.3086 	 0.1481 	 -0.0065 	 -0.0033 	 73.1933
  0.3704 	 0.1481 	 -0.0038 	 -0.0023 	 44.7688
  0.4321 	 0.1481 	 -0.0016 	 -0.0004 	 16.5536
  0.4938 	 0.1481 	 -0.0001 	 0.0009 	 9.3347
  0.5556 	 0.1481 	 0.0012 	 0.0007 	 13.7102
  0.6173 	 0.1481 	 0.0030 	 -0.0010 	 31.7847
  0.6790 	 0.1481 	 0.0054 	 -0.0029 	 61.5603
  0.7407 	 0.1481 	 0.0079 	 -0.0035 	 86.0766
  0.8025 	 0.1481 	 0.0092 	 -0.0021 	 94.3488
  0.8642 	 0.1481 	 0.0085 	 0.0003 	 84.8055
  0.9259 	 0.1481 	 0.0057 	 0.0029 	 63.6436
  0.0617 	 0.1852 	 -0.0035 	 0.0070 	 78.2403
  0.1235 	 0.1852 	 -0.0080 	 0.0049 	 93.1633
  0.1852 	 0.1852 	 -0.0116 	 0.0011 	 116.6744
  0.2469 	 0.1852 	 -0.0128 	 -0.0026 	 130.6578
  0.3086 	 0.1852 	 -0.0120 	 -0.0045 	 128.4243
  0.3704 	 0.1852 	 -0.0098 	 -0.0040 	 105.8302
  0.4321 	 0.1852 	 -0.0061 	 -0.0025 	 65.4306
  0.4938 	 0.1852 	 -0.0011 	 -0.0014 	 17.2470
  0.5556 	 0.1852 	 0.0042 	 -0.0016 	 45.3672
  0.6173 	 0.1852 	 0.0086 	 -0.0029 	 91.0379
  0.6790 	 0.1852 	 0.0114 	 -0.0043 	 121.4161
  0.7407 	 0.1852 	 0.0125 	 -0.0042 	 132.1069
  0.8025 	 0.1852 	 0.0122 	 -0.0019 	 123.6249
  0.8642 	 0.1852 	 0.0101 	 0.0018 	 102.7634
  0.9259 	 0.1852 	 0.0061 	 0.0053 	 81.2027
  0.0617 	 0.2222 	 -0.0025 	 0.0097 	 100.3566
  0.1235 	 0.2222 	 -0.0072 	 0.0077 	 105.3125
  0.1852 	 0.2222 	 -0.0108 	 0.0030 	 112.4086
  0.2469 	 0.2222 	 -0.0135 	 -0.0016 	 136.0056
  0.3086 	 0.2222 	 -0.0157 	 -0.0042 	 162.6920
  0.3704 	 0.2222 	 -0.0158 	 -0.0052 	 166.8936
  0.4321 	 0.2222 	 -0.0114 	 -0.0060 	 129.1688
  0.4938 	 0.2222 	 -0.0023 	 -0.0066 	 70.2140
  0.5556 	 0.2222 	 0.0080 	 -0.0065 	 102.8976
  0.6173 	 0.2222 	 0.0149 	 -0.0057 	 159.1436
  0.6790 	 0.2222 	 0.0165 	 -0.0047 	 172.0037
  0.7407 	 0.2222 	 0.0145 	 -0.0033 	 148.8095
  0.8025 	 0.2222 	 0.0114 	 -0.0005 	 114.1789
  0.8642 	 0.2222 	 0.0085 	 0.0037 	 92.5575
  0.9259 	 0.2222 	 0.0050 	 0.0079 	 93.0200
  0.0617 	 0.2593 	 -0.0016 	 0.0117 	 118.5229
  0.1235 	 0.2593 	 -0.0028 	 0.0090 	 94.5032
  0.1852 	 0.2593 	 -0.0038 	 0.0043 	 57.8622
  0.2469 	 0.2593 	 -0.0076 	 0.0010 	 77.0682
  0.3086 	 0.2593 	 -0.0132 	 -0.0016 	 133.4897
  0.3704 	 0.2593 	 -0.0161 	 -0.0052 	 169.6063
  0.4321 	 0.2593 	 -0.0126 	 -0.0100 	 161.1884
  0.4938 	 0.2593 	 -0.0027 	 -0.0136 	 138.8846
  0.5556 	 0.2593 	 0.0088 	 -0.0128 	 155.7214
  0.6173 	 0.2593 	 0.0158 	 -0.0084 	 178.5227
  0.6790 	 0.2593 	 0.0158 	 -0.0036 	 161.5809
  0.7407 	 0.2593 	 0.0106 	 -0.0001 	 105.9817
  0.8025 	 0.2593 	 0.0045 	 0.0022 	 50.2157
  0.8642 	 0.2593 	 0.0016 	 0.0049 	 51.1105
  0.9259 	 0.2593 	 0.0015 	 0.0087 	 88.5644
  0.0617 	 0.2963 	 0.0007 	 0.0105 	 104.9335
  0.1235 	 0.2963 	 0.0065 	 0.0071 	 96.0254
  0.1852 	 0.2963 	 0.0074 	 0.0054 	 91.7113
  0.2469 	 0.2963 	 0.0016 	 0.0051 	 53.1282
  0.3086 	 0.2963 	 -0.0061 	 0.0023 	 65.0335
  0.3704 	 0.2963 	 -0.0099 	 -0.0044 	 108.0490
  0.4321 	 0.2963 	 -0.0078 	 -0.0130 	 151.8884
  0.4938 	 0.2963 	 -0.0017 	 -0.0190 	 190.4538
  0.5556 	 0.2963 	 0.0053 	 -0.0177 	 184.9009
  0.6173 	 0.2963 	 0.0098 	 -0.0103 	 142.0933
  0.6790 	 0.2963 	 0.0092 	 -0.0018 	 93.2530
  0.7407 	 0.2963 	 0.0032 	 0.0043 	 53.6004
  0.8025 	 0.2963 	 -0.0050 	 0.0063 	 80.2224
  0.8642 	 0.2963 	 -0.0092 	 0.0055 	 107.3853
  0.9259 	 0.2963 	 -0.0061 	 0.0063 	 88.1272
  0.0617 	 0.3333 	 0.0084 	 0.0035 	 91.0223
  0.1235 	 0.3333 	 0.0171 	 0.0041 	 175.4185
  0.1852 	 0.3333 	 0.0150 	 0.0079 	 169.4697
  0.2469 	 0.3333 	 0.0067 	 0.0103 	 123.4133
  0.3086 	 0.3333 	 -0.0009 	 0.0061 	 61.6659
  0.3704 	 0.3333 	 -0.0031 	 -0.0041 	 51.3174
  0.4321 	 0.3333 	 -0.0010 	 -0.0148 	 148.2449
  0.4938 	 0.3333 	 0.0001 	 -0.0204 	 203.9507
  0.5556 	 0.3333 	 0.0001 	 -0.0194 	 193.5870
  0.6173 	 0.3333 	 0.0024 	 -0.0118 	 120.2922
  0.6790 	 0.3333 	 0.0030 	 -0.0006 	 31.1121
  0.7407 	 0.3333 	 -0.0014 	 0.0086 	 86.8693
  0.8025 	 0.3333 	 -0.0097 	 0.0114 	 150.0756
  0.8642 	 0.3333 	 -0.0167 	 0.0077 	 183.8140
  0.9259 	 0.3333 	 -0.0165 	 0.0031 	 167.6476
  0.0617 	 0.3704 	 0.0162 	 -0.0051 	 169.8017
  0.1235 	 0.3704 	 0.0208 	 0.0038 	 211.3833
  0.1852 	 0.3704 	 0.0147 	 0.0124 	 192.4934
  0.2469 	 0.3704 	 0.0061 	 0.0155 	 166.7326
  0.3086 	 0.3704 	 0.0006 	 0.0086 	 86.3242
  0.3704 	 0.3704 	 0.0012 	 -0.0052 	 53.7165
  0.4321 	 0.3704 	 0.0045 	 -0.0162 	 167.8375
  0.4938 	 0.3704 	 0.0016 	 -0.0178 	 178.3022
  0.5556 	 0.3704 	 -0.0043 	 -0.0180 	 185.0562
  0.6173 	 0.3704 	 -0.0031 	 -0.0138 	 141.1293
  0.6790 	 0.3704 	 -0.0002 	 -0.0009 	 9.5865
  0.7407 	 0.3704 	 -0.0020 	 0.0115 	 116.3620
  0.8025 	 0.3704 	 -0.0082 	 0.0163 	 182.5184
  0.8642 	 0.3704 	 -0.0163 	 0.0119 	 201.8397
  0.9259 	 0.3704 	 -0.0208 	 0.0028 	 210.1407
  0.0617 	 0.4074 	 0.0123 	 -0.0129 	 178.2072
  0.1235 	 0.4074 	 0.0175 	 0.0046 	 180.8668
  0.1852 	 0.4074 	 0.0113 	 0.0175 	 207.7949
  0.2469 	 0.4074 	 0.0041 	 0.0194 	 198.1617
  0.3086 	 0.4074 	 0.0021 	 0.0093 	 94.9447
  0.3704 	 0.4074 	 0.0048 	 -0.0076 	 89.8356
  0.4321 	 0.4074 	 0.0059 	 -0.0160 	 170.5367
  0.4938 	 0.4074 	 0.0007 	 -0.0142 	 142.5410
  0.5556 	 0.4074 	 -0.0034 	 -0.0150 	 153.5023
  0.6173 	 0.4074 	 -0.0063 	 -0.0151 	 163.7211
  0.6790 	 0.4074 	 -0.0032 	 -0.0025 	 40.6665
  0.7407 	 0.4074 	 -0.0023 	 0.0124 	 125.8347
  0.8025 	 0.4074 	 -0.0050 	 0.0198 	 204.2640
  0.8642 	 0.4074 	 -0.0126 	 0.0168 	 210.2912
  0.9259 	 0.4074 	 -0.0173 	 0.0035 	 176.8406
