 x 	 y 	 u 	 v 	 m 
  0.1852 	 0.4375 	 -0.0002 	 0.0047 	 46.5722  
  0.2469 	 0.4375 	 -0.0003 	 0.0128 	 127.8568  
  0.3086 	 0.4376 	 -0.0006 	 0.0303 	 303.0793  
  0.3704 	 0.4378 	 -0.0007 	 0.0571 	 571.3244  
  0.4321 	 0.4380 	 -0.0006 	 0.0848 	 847.8784  
  0.4938 	 0.4380 	 0.0000 	 0.0964 	 964.4277  
  0.5556 	 0.4380 	 0.0006 	 0.0837 	 837.2548  
  0.6173 	 0.4378 	 0.0007 	 0.0557 	 556.9508  
  0.6790 	 0.4376 	 0.0005 	 0.0292 	 292.1998  
  0.7407 	 0.4375 	 0.0003 	 0.0122 	 122.1965  
  0.8025 	 0.4375 	 0.0001 	 0.0044 	 44.0677  
 
