 x 	 y 	 u 	 v 	 m 
  0.3086 	 0.2222 	 -0.0159 	 -0.0052 	 167.8133
  0.3704 	 0.2222 	 -0.0149 	 -0.0041 	 154.9222
  0.4321 	 0.2222 	 -0.0104 	 -0.0023 	 106.9289
  0.4938 	 0.2222 	 -0.0019 	 -0.0014 	 23.4131
  0.5556 	 0.2222 	 0.0076 	 -0.0015 	 77.6653
  0.6173 	 0.2222 	 0.0140 	 -0.0027 	 142.6872
  0.6790 	 0.2222 	 0.0162 	 -0.0043 	 167.6806
  0.7407 	 0.2222 	 0.0156 	 -0.0048 	 163.6005
  0.8025 	 0.2222 	 0.0141 	 -0.0028 	 143.5209
  0.8642 	 0.2222 	 0.0119 	 0.0015 	 119.7478
  0.9259 	 0.2222 	 0.0078 	 0.0063 	 100.0377
  0.0617 	 0.2593 	 -0.0044 	 0.0120 	 127.4894
  0.1235 	 0.2593 	 -0.0090 	 0.0084 	 123.2249
  0.1852 	 0.2593 	 -0.0121 	 0.0025 	 123.3320
  0.2469 	 0.2593 	 -0.0167 	 -0.0014 	 167.7335
  0.3086 	 0.2593 	 -0.0225 	 -0.0031 	 227.2084
  0.3704 	 0.2593 	 -0.0249 	 -0.0046 	 253.3887
  0.4321 	 0.2593 	 -0.0189 	 -0.0077 	 204.3520
  0.4938 	 0.2593 	 -0.0037 	 -0.0106 	 112.6684
  0.5556 	 0.2593 	 0.0137 	 -0.0097 	 167.8683
  0.6173 	 0.2593 	 0.0240 	 -0.0062 	 248.2341
  0.6790 	 0.2593 	 0.0249 	 -0.0035 	 251.6818
  0.7407 	 0.2593 	 0.0197 	 -0.0019 	 197.5892
  0.8025 	 0.2593 	 0.0131 	 -0.0002 	 131.3934
  0.8642 	 0.2593 	 0.0091 	 0.0032 	 96.4228
  0.9259 	 0.2593 	 0.0067 	 0.0085 	 108.5451
  0.0617 	 0.2963 	 -0.0026 	 0.0136 	 138.1887
  0.1235 	 0.2963 	 -0.0012 	 0.0087 	 87.3877
  0.1852 	 0.2963 	 -0.0033 	 0.0050 	 59.9301
  0.2469 	 0.2963 	 -0.0116 	 0.0038 	 121.7919
  0.3086 	 0.2963 	 -0.0208 	 0.0013 	 207.9422
  0.3704 	 0.2963 	 -0.0235 	 -0.0049 	 240.5242
