 x 	 y 	 u 	 v 	 m 
  0.3704 	 0.2222 	 0.0061 	 0.0047 	 76.7037
  0.4321 	 0.2222 	 0.0035 	 0.0056 	 66.2050
  0.4938 	 0.2222 	 0.0005 	 0.0060 	 60.0066
  0.5556 	 0.2222 	 -0.0025 	 0.0059 	 64.1879
  0.6173 	 0.2222 	 -0.0053 	 0.0054 	 75.2821
  0.6790 	 0.2222 	 -0.0073 	 0.0042 	 84.4667
  0.7407 	 0.2222 	 -0.0082 	 0.0023 	 84.8476
  0.8025 	 0.2222 	 -0.0076 	 -0.0001 	 75.5999
  0.8642 	 0.2222 	 -0.0058 	 -0.0022 	 61.7588
  0.9259 	 0.2222 	 -0.0035 	 -0.0036 	 49.8354
  0.0617 	 0.2593 	 0.0021 	 -0.0055 	 58.5508
  0.1235 	 0.2593 	 0.0052 	 -0.0050 	 72.5725
  0.1852 	 0.2593 	 0.0085 	 -0.0031 	 90.4186
  0.2469 	 0.2593 	 0.0109 	 0.0001 	 108.6222
  0.3086 	 0.2593 	 0.0112 	 0.0037 	 117.7066
  0.3704 	 0.2593 	 0.0091 	 0.0065 	 111.8722
  0.4321 	 0.2593 	 0.0054 	 0.0080 	 96.5229
  0.4938 	 0.2593 	 0.0008 	 0.0086 	 86.3935
  0.5556 	 0.2593 	 -0.0039 	 0.0085 	 92.9442
  0.6173 	 0.2593 	 -0.0080 	 0.0075 	 109.6280
  0.6790 	 0.2593 	 -0.0107 	 0.0055 	 120.3823
  0.7407 	 0.2593 	 -0.0113 	 0.0023 	 115.0358
  0.8025 	 0.2593 	 -0.0096 	 -0.0011 	 96.7558
  0.8642 	 0.2593 	 -0.0067 	 -0.0037 	 76.8428
  0.9259 	 0.2593 	 -0.0037 	 -0.0051 	 62.8089
  0.0617 	 0.2963 	 0.0019 	 -0.0069 	 72.1538
  0.1235 	 0.2963 	 0.0054 	 -0.0072 	 89.5634
  0.1852 	 0.2963 	 0.0099 	 -0.0054 	 112.6498
  0.2469 	 0.2963 	 0.0142 	 -0.0015 	 143.1751
  0.3086 	 0.2963 	 0.0163 	 0.0038 	 167.8007
  0.3704 	 0.2963 	 0.0143 	 0.0087 	 167.1319
  0.4321 	 0.2963 	 0.0086 	 0.0116 	 144.5296
  0.4938 	 0.2963 	 0.0013 	 0.0127 	 127.2673
  0.5556 	 0.2963 	 -0.0062 	 0.0124 	 138.3270
  0.6173 	 0.2963 	 -0.0126 	 0.0106 	 164.5710
  0.6790 	 0.2963 	 -0.0161 	 0.0068 	 174.4562
  0.7407 	 0.2963 	 -0.0153 	 0.0015 	 153.4046
  0.8025 	 0.2963 	 -0.0114 	 -0.0031 	 118.2745
  0.8642 	 0.2963 	 -0.0071 	 -0.0058 	 91.8392
  0.9259 	 0.2963 	 -0.0035 	 -0.0068 	 76.3643
  0.0617 	 0.3333 	 0.0006 	 -0.0082 	 81.7898
  0.1235 	 0.3333 	 0.0048 	 -0.0097 	 108.0421
  0.1852 	 0.3333 	 0.0093 	 -0.0084 	 125.4220
  0.2469 	 0.3333 	 0.0161 	 -0.0052 	 169.3216
  0.3086 	 0.3333 	 0.0226 	 0.0021 	 226.5859
  0.3704 	 0.3333 	 0.0222 	 0.0112 	 249.0990
  0.4321 	 0.3333 	 0.0140 	 0.0172 	 221.6007
  0.4938 	 0.3333 	 0.0022 	 0.0192 	 193.0594
  0.5556 	 0.3333 	 -0.0101 	 0.0186 	 211.9368
  0.6173 	 0.3333 	 -0.0200 	 0.0151 	 250.7586
  0.6790 	 0.3333 	 -0.0234 	 0.0074 	 245.1510
  0.7407 	 0.3333 	 -0.0186 	 -0.0015 	 186.6552
  0.8025 	 0.3333 	 -0.0110 	 -0.0067 	 129.0389
  0.8642 	 0.3333 	 -0.0060 	 -0.0081 	 101.0437
  0.9259 	 0.3333 	 -0.0029 	 -0.0087 	 91.7448
  0.0617 	 0.3704 	 0.0027 	 -0.0125 	 128.0909
  0.1235 	 0.3704 	 0.0046 	 -0.0101 	 111.1698
  0.1852 	 0.3704 	 0.0037 	 -0.0101 	 107.9548
  0.2469 	 0.3704 	 0.0098 	 -0.0105 	 143.0587
  0.3086 	 0.3704 	 0.0206 	 -0.0032 	 208.8701
  0.3704 	 0.3704 	 0.0267 	 0.0120 	 293.2604
  0.4321 	 0.3704 	 0.0194 	 0.0246 	 313.0402
  0.4938 	 0.3704 	 0.0031 	 0.0290 	 291.1910
  0.5556 	 0.3704 	 -0.0142 	 0.0278 	 312.5184
  0.6173 	 0.3704 	 -0.0257 	 0.0200 	 325.6787
  0.6790 	 0.3704 	 -0.0240 	 0.0048 	 244.7408
  0.7407 	 0.3704 	 -0.0133 	 -0.0076 	 153.5057
  0.8025 	 0.3704 	 -0.0046 	 -0.0108 	 117.7605
