 x 	 y 	 u 	 v 	 m 
  0.1852 	 0.4375 	 -0.0003 	 0.0047 	 47.5369  
  0.2469 	 0.4375 	 -0.0007 	 0.0130 	 130.0769  
  0.3086 	 0.4376 	 -0.0013 	 0.0310 	 310.4810  
  0.3704 	 0.4378 	 -0.0017 	 0.0591 	 591.2071  
  0.4321 	 0.4380 	 -0.0013 	 0.0881 	 880.8111  
  0.4938 	 0.4381 	 0.0001 	 0.1002 	 1002.0910  
  0.5556 	 0.4380 	 0.0014 	 0.0870 	 869.8165  
  0.6173 	 0.4378 	 0.0017 	 0.0576 	 576.1596  
  0.6790 	 0.4376 	 0.0013 	 0.0299 	 299.3586  
  0.7407 	 0.4375 	 0.0007 	 0.0124 	 124.1962  
  0.8025 	 0.4375 	 0.0003 	 0.0045 	 45.0678  
 
