 x 	 y 	 u 	 v 	 m 
  0.1852 	 0.4376 	 -0.0023 	 0.0089 	 91.4877  
  0.2469 	 0.4376 	 -0.0050 	 0.0149 	 157.1676  
  0.3086 	 0.4376 	 -0.0092 	 0.0206 	 225.5535  
  0.3704 	 0.4375 	 -0.0131 	 0.0114 	 173.3906  
  0.4321 	 0.4374 	 -0.0115 	 -0.0060 	 130.1575  
  0.4938 	 0.4373 	 -0.0001 	 -0.0149 	 148.6031  
  0.5556 	 0.4374 	 0.0113 	 -0.0051 	 124.3740  
  0.6173 	 0.4375 	 0.0133 	 0.0120 	 178.6092  
  0.6790 	 0.4376 	 0.0094 	 0.0204 	 224.6261  
  0.7407 	 0.4376 	 0.0051 	 0.0148 	 156.7536  
  0.8025 	 0.4376 	 0.0023 	 0.0083 	 86.1365  
 
