 x 	 y 	 u 	 v 	 m 
  0.3086 	 0.2222 	 0.0167 	 0.0048 	 173.8142
  0.3704 	 0.2222 	 0.0122 	 0.0067 	 139.0782
  0.4321 	 0.2222 	 0.0066 	 0.0066 	 92.9545
  0.4938 	 0.2222 	 0.0011 	 0.0060 	 60.8838
  0.5556 	 0.2222 	 -0.0042 	 0.0061 	 74.4413
  0.6173 	 0.2222 	 -0.0097 	 0.0068 	 118.6149
  0.6790 	 0.2222 	 -0.0149 	 0.0065 	 162.4235
  0.7407 	 0.2222 	 -0.0179 	 0.0039 	 183.3366
  0.8025 	 0.2222 	 -0.0171 	 -0.0009 	 171.0816
  0.8642 	 0.2222 	 -0.0126 	 -0.0057 	 138.2664
  0.9259 	 0.2222 	 -0.0071 	 -0.0085 	 111.3228
  0.0617 	 0.2593 	 0.0030 	 -0.0114 	 117.7340
  0.1235 	 0.2593 	 0.0091 	 -0.0125 	 154.6988
  0.1852 	 0.2593 	 0.0180 	 -0.0092 	 202.5488
  0.2469 	 0.2593 	 0.0243 	 -0.0016 	 243.5959
  0.3086 	 0.2593 	 0.0249 	 0.0062 	 256.2819
  0.3704 	 0.2593 	 0.0197 	 0.0106 	 224.0672
  0.4321 	 0.2593 	 0.0113 	 0.0113 	 159.8510
  0.4938 	 0.2593 	 0.0019 	 0.0107 	 109.1700
  0.5556 	 0.2593 	 -0.0074 	 0.0108 	 131.3694
  0.6173 	 0.2593 	 -0.0163 	 0.0112 	 197.7278
  0.6790 	 0.2593 	 -0.0229 	 0.0096 	 247.9843
  0.7407 	 0.2593 	 -0.0247 	 0.0042 	 250.8266
  0.8025 	 0.2593 	 -0.0212 	 -0.0035 	 214.8192
  0.8642 	 0.2593 	 -0.0138 	 -0.0101 	 170.8251
  0.9259 	 0.2593 	 -0.0059 	 -0.0123 	 136.0554
  0.0617 	 0.2963 	 -0.0004 	 -0.0137 	 137.1196
  0.1235 	 0.2963 	 0.0084 	 -0.0182 	 200.8748
  0.1852 	 0.2963 	 0.0172 	 -0.0145 	 224.6328
  0.2469 	 0.2963 	 0.0241 	 -0.0051 	 246.2987
  0.3086 	 0.2963 	 0.0289 	 0.0057 	 294.2856
  0.3704 	 0.2963 	 0.0270 	 0.0144 	 305.7154
  0.4321 	 0.2963 	 0.0171 	 0.0181 	 249.4080
  0.4938 	 0.2963 	 0.0031 	 0.0185 	 187.9272
  0.5556 	 0.2963 	 -0.0116 	 0.0184 	 217.2635
  0.6173 	 0.2963 	 -0.0236 	 0.0170 	 290.7090
  0.6790 	 0.2963 	 -0.0287 	 0.0114 	 309.0428
  0.7407 	 0.2963 	 -0.0256 	 0.0020 	 256.4162
  0.8025 	 0.2963 	 -0.0190 	 -0.0074 	 203.7663
  0.8642 	 0.2963 	 -0.0127 	 -0.0148 	 195.0129
  0.9259 	 0.2963 	 -0.0049 	 -0.0172 	 178.6579
  0.0617 	 0.3333 	 0.0053 	 -0.0201 	 207.5558
  0.1235 	 0.3333 	 0.0120 	 -0.0214 	 245.2953
  0.1852 	 0.3333 	 0.0096 	 -0.0152 	 179.2369
  0.2469 	 0.3333 	 0.0107 	 -0.0085 	 137.1785
  0.3086 	 0.3333 	 0.0189 	 0.0013 	 189.6189
  0.3704 	 0.3333 	 0.0243 	 0.0150 	 285.6045
  0.4321 	 0.3333 	 0.0185 	 0.0251 	 311.7418
  0.4938 	 0.3333 	 0.0036 	 0.0285 	 287.5952
  0.5556 	 0.3333 	 -0.0130 	 0.0277 	 305.7738
  0.6173 	 0.3333 	 -0.0233 	 0.0217 	 318.8528
  0.6790 	 0.3333 	 -0.0220 	 0.0094 	 239.7831
  0.7407 	 0.3333 	 -0.0130 	 -0.0032 	 133.3981
  0.8025 	 0.3333 	 -0.0067 	 -0.0101 	 121.1304
  0.8642 	 0.3333 	 -0.0088 	 -0.0146 	 170.5269
  0.9259 	 0.3333 	 -0.0110 	 -0.0199 	 227.8386
  0.0617 	 0.3704 	 0.0161 	 -0.0276 	 319.5133
  0.1235 	 0.3704 	 0.0128 	 -0.0166 	 209.7162
  0.1852 	 0.3704 	 -0.0011 	 -0.0095 	 95.2556
  0.2469 	 0.3704 	 -0.0049 	 -0.0098 	 109.8956
  0.3086 	 0.3704 	 0.0008 	 -0.0041 	 41.6513
  0.3704 	 0.3704 	 0.0092 	 0.0115 	 147.2108
  0.4321 	 0.3704 	 0.0109 	 0.0284 	 304.5109
  0.4938 	 0.3704 	 0.0024 	 0.0367 	 367.9135
  0.5556 	 0.3704 	 -0.0083 	 0.0346 	 355.9541
  0.6173 	 0.3704 	 -0.0112 	 0.0223 	 249.5063
  0.6790 	 0.3704 	 -0.0046 	 0.0044 	 63.4960
  0.7407 	 0.3704 	 0.0032 	 -0.0079 	 85.5559
  0.8025 	 0.3704 	 0.0058 	 -0.0103 	 118.2288
  0.8642 	 0.3704 	 -0.0016 	 -0.0083 	 84.9315
  0.9259 	 0.3704 	 -0.0159 	 -0.0151 	 219.2269
  0.0617 	 0.4074 	 0.0067 	 -0.0332 	 339.0852
  0.1235 	 0.4074 	 0.0056 	 -0.0089 	 105.3456
  0.1852 	 0.4074 	 -0.0084 	 -0.0027 	 88.4571
  0.2469 	 0.4074 	 -0.0109 	 -0.0099 	 147.6643
  0.3086 	 0.4074 	 -0.0112 	 -0.0059 	 126.2488
  0.3704 	 0.4074 	 -0.0070 	 0.0070 	 98.9071
  0.4321 	 0.4074 	 -0.0007 	 0.0271 	 271.4744
  0.4938 	 0.4074 	 0.0002 	 0.0393 	 393.4571
  0.5556 	 0.4074 	 -0.0003 	 0.0362 	 361.6673
  0.6173 	 0.4074 	 0.0039 	 0.0192 	 195.4917
  0.6790 	 0.4074 	 0.0101 	 0.0008 	 101.4731
  0.7407 	 0.4074 	 0.0104 	 -0.0087 	 136.0770
  0.8025 	 0.4074 	 0.0099 	 -0.0102 	 142.4382
  0.8642 	 0.4074 	 0.0053 	 -0.0013 	 54.9335
  0.9259 	 0.4074 	 -0.0094 	 -0.0073 	 118.8345
  0.0617 	 0.4444 	 -0.0104 	 -0.0341 	 356.2868
  0.1235 	 0.4444 	 -0.0121 	 -0.0069 	 139.1200
  0.1852 	 0.4444 	 -0.0113 	 -0.0006 	 113.2479
  0.2469 	 0.4444 	 -0.0123 	 -0.0087 	 151.2741
  0.3086 	 0.4444 	 -0.0168 	 -0.0035 	 171.7993
  0.3704 	 0.4444 	 -0.0196 	 0.0046 	 201.7655
  0.4321 	 0.4444 	 -0.0127 	 0.0224 	 256.9208
  0.4938 	 0.4444 	 -0.0021 	 0.0354 	 354.1736
  0.5556 	 0.4444 	 0.0083 	 0.0318 	 329.1393
  0.6173 	 0.4444 	 0.0177 	 0.0147 	 230.1247
  0.6790 	 0.4444 	 0.0187 	 0.0015 	 187.9314
  0.7407 	 0.4444 	 0.0139 	 -0.0064 	 152.7679
  0.8025 	 0.4444 	 0.0095 	 -0.0091 	 131.6127
  0.8642 	 0.4444 	 0.0097 	 0.0011 	 97.6856
  0.9259 	 0.4444 	 0.0109 	 -0.0056 	 122.3819
  0.0617 	 0.4815 	 -0.0101 	 -0.0238 	 258.6803
  0.1235 	 0.4815 	 -0.0158 	 -0.0086 	 179.8587
  0.1852 	 0.4815 	 -0.0102 	 -0.0044 	 110.5978
  0.2469 	 0.4815 	 -0.0121 	 -0.0056 	 133.5689
  0.3086 	 0.4815 	 -0.0159 	 -0.0017 	 159.4314
  0.3704 	 0.4815 	 -0.0166 	 0.0064 	 177.6782
  0.4321 	 0.4815 	 -0.0140 	 0.0179 	 227.0271
  0.4938 	 0.4815 	 -0.0032 	 0.0260 	 261.7179
  0.5556 	 0.4815 	 0.0114 	 0.0236 	 261.9808
  0.6173 	 0.4815 	 0.0152 	 0.0129 	 199.6536
  0.6790 	 0.4815 	 0.0164 	 0.0029 	 166.3824
  0.7407 	 0.4815 	 0.0137 	 -0.0038 	 142.3947
  0.8025 	 0.4815 	 0.0094 	 -0.0061 	 111.7326
  0.8642 	 0.4815 	 0.0097 	 -0.0036 	 103.5036
  0.9259 	 0.4815 	 0.0161 	 -0.0075 	 177.3257
