 x 	 y 	 u 	 v 	 m 
  0.3086 	 0.2222 	 0.0132 	 0.0035 	 136.4002
  0.3704 	 0.2222 	 0.0104 	 0.0065 	 122.5289
  0.4321 	 0.2222 	 0.0060 	 0.0083 	 101.9570
  0.4938 	 0.2222 	 0.0009 	 0.0090 	 90.1878
  0.5556 	 0.2222 	 -0.0043 	 0.0089 	 98.6585
  0.6173 	 0.2222 	 -0.0091 	 0.0079 	 120.3994
  0.6790 	 0.2222 	 -0.0127 	 0.0057 	 139.2522
  0.7407 	 0.2222 	 -0.0142 	 0.0023 	 143.5057
  0.8025 	 0.2222 	 -0.0131 	 -0.0018 	 131.9631
  0.8642 	 0.2222 	 -0.0100 	 -0.0053 	 113.1792
  0.9259 	 0.2222 	 -0.0060 	 -0.0076 	 97.2932
  0.0617 	 0.2593 	 0.0034 	 -0.0112 	 116.7569
  0.1235 	 0.2593 	 0.0087 	 -0.0105 	 136.3356
  0.1852 	 0.2593 	 0.0142 	 -0.0074 	 160.1793
  0.2469 	 0.2593 	 0.0184 	 -0.0020 	 185.3568
  0.3086 	 0.2593 	 0.0193 	 0.0042 	 197.4936
  0.3704 	 0.2593 	 0.0161 	 0.0092 	 185.2162
  0.4321 	 0.2593 	 0.0096 	 0.0122 	 155.2084
  0.4938 	 0.2593 	 0.0016 	 0.0133 	 134.3864
  0.5556 	 0.2593 	 -0.0068 	 0.0132 	 147.9231
  0.6173 	 0.2593 	 -0.0141 	 0.0114 	 181.2049
  0.6790 	 0.2593 	 -0.0188 	 0.0077 	 202.7421
  0.7407 	 0.2593 	 -0.0195 	 0.0022 	 196.4853
  0.8025 	 0.2593 	 -0.0166 	 -0.0037 	 169.7306
  0.8642 	 0.2593 	 -0.0116 	 -0.0081 	 141.3706
  0.9259 	 0.2593 	 -0.0064 	 -0.0104 	 121.8825
  0.0617 	 0.2963 	 0.0032 	 -0.0138 	 141.0982
  0.1235 	 0.2963 	 0.0087 	 -0.0143 	 167.3816
  0.1852 	 0.2963 	 0.0163 	 -0.0115 	 199.5131
  0.2469 	 0.2963 	 0.0238 	 -0.0053 	 244.0438
  0.3086 	 0.2963 	 0.0280 	 0.0038 	 283.0482
  0.3704 	 0.2963 	 0.0252 	 0.0126 	 281.5284
  0.4321 	 0.2963 	 0.0156 	 0.0182 	 239.3163
  0.4938 	 0.2963 	 0.0026 	 0.0203 	 204.6144
  0.5556 	 0.2963 	 -0.0108 	 0.0199 	 226.3574
  0.6173 	 0.2963 	 -0.0222 	 0.0166 	 276.9675
  0.6790 	 0.2963 	 -0.0280 	 0.0097 	 296.3164
  0.7407 	 0.2963 	 -0.0263 	 0.0004 	 262.8034
  0.8025 	 0.2963 	 -0.0195 	 -0.0074 	 208.4729
  0.8642 	 0.2963 	 -0.0121 	 -0.0119 	 169.9386
  0.9259 	 0.2963 	 -0.0059 	 -0.0135 	 147.4555
  0.0617 	 0.3333 	 0.0007 	 -0.0158 	 158.1648
  0.1235 	 0.3333 	 0.0077 	 -0.0185 	 200.8234
  0.1852 	 0.3333 	 0.0149 	 -0.0166 	 222.4826
  0.2469 	 0.3333 	 0.0259 	 -0.0117 	 284.5916
  0.3086 	 0.3333 	 0.0374 	 0.0002 	 374.2970
  0.3704 	 0.3333 	 0.0383 	 0.0161 	 415.7456
  0.4321 	 0.3333 	 0.0251 	 0.0275 	 371.9233
  0.4938 	 0.3333 	 0.0044 	 0.0317 	 319.9875
  0.5556 	 0.3333 	 -0.0174 	 0.0308 	 353.9182
  0.6173 	 0.3333 	 -0.0346 	 0.0241 	 421.5563
  0.6790 	 0.3333 	 -0.0397 	 0.0101 	 409.9850
  0.7407 	 0.3333 	 -0.0311 	 -0.0051 	 315.3843
  0.8025 	 0.3333 	 -0.0183 	 -0.0136 	 228.4546
  0.8642 	 0.3333 	 -0.0101 	 -0.0159 	 188.3149
  0.9259 	 0.3333 	 -0.0049 	 -0.0169 	 175.7327
  0.0617 	 0.3704 	 0.0045 	 -0.0235 	 238.8996
  0.1235 	 0.3704 	 0.0077 	 -0.0192 	 207.2814
  0.1852 	 0.3704 	 0.0052 	 -0.0190 	 196.8417
  0.2469 	 0.3704 	 0.0138 	 -0.0201 	 243.1970
  0.3086 	 0.3704 	 0.0310 	 -0.0091 	 322.8493
  0.3704 	 0.3704 	 0.0425 	 0.0159 	 454.1848
  0.4321 	 0.3704 	 0.0327 	 0.0391 	 509.8944
  0.4938 	 0.3704 	 0.0061 	 0.0485 	 488.8390
  0.5556 	 0.3704 	 -0.0234 	 0.0465 	 520.1881
  0.6173 	 0.3704 	 -0.0416 	 0.0316 	 522.5126
  0.6790 	 0.3704 	 -0.0377 	 0.0052 	 380.7731
  0.7407 	 0.3704 	 -0.0203 	 -0.0153 	 253.9457
  0.8025 	 0.3704 	 -0.0067 	 -0.0203 	 214.0354
  0.8642 	 0.3704 	 -0.0034 	 -0.0169 	 172.3858
  0.9259 	 0.3704 	 -0.0080 	 -0.0170 	 188.0505
  0.0617 	 0.4074 	 0.0223 	 -0.0292 	 367.3580
  0.1235 	 0.4074 	 0.0031 	 -0.0082 	 87.6410
  0.1852 	 0.4074 	 -0.0079 	 -0.0169 	 186.6327
  0.2469 	 0.4074 	 -0.0094 	 -0.0232 	 250.7273
  0.3086 	 0.4074 	 -0.0035 	 -0.0179 	 182.6918
  0.3704 	 0.4074 	 0.0118 	 0.0080 	 142.5903
  0.4321 	 0.4074 	 0.0184 	 0.0446 	 482.7078
  0.4938 	 0.4074 	 0.0040 	 0.0636 	 636.8402
  0.5556 	 0.4074 	 -0.0149 	 0.0591 	 609.7535
  0.6173 	 0.4074 	 -0.0173 	 0.0311 	 356.1967
  0.6790 	 0.4074 	 -0.0023 	 -0.0046 	 51.7449
